100.0,1176600
0.0,210100
51.02041,115900
0.0,78100
10.857143,74100
0.0,82200
3.265306,77000
0.0,73300
9.142857,74100
0.0,76799
11.020409,90700
2.4489796,75500
0.7346939,82400
0.16326529,102300
0.081632644,162500
0.0,272200
0.0,151400
1.9591836,104899
0.0,75000
10.285714,75400
0.0,110400
48.489796,75500
0.0,71599
10.285715,75900
0.0,77300
2.7755103,83301
39.183674,79800
71.34694,90001
86.20408,113599
97.95918,160199
100.0,302300
0.0,165300
51.02041,105501
0.0,82900
10.857143,77400
0.0,81299
3.265306,95100
0.0,71000
9.142857,69300
0.0,67400
11.020409,82699
2.4489796,79300
0.7346939,84400
0.16326529,99099
0.081632644,144399
0.0,243700
0.0,162201
1.9591836,103999
0.0,69099
10.285714,75599
0.0,68901
48.489796,67199
0.0,56800
10.285715,64600
0.0,60000
2.7755103,86500
39.183674,53700
71.34694,73199
86.20408,83699
97.95918,132199
100.0,198801
0.0,143401
51.02041,103100
0.0,76500
10.857143,79000
0.0,79900
3.265306,76700
0.0,62900
9.142857,64100
0.0,77099
11.020409,77700
2.4489796,69900
0.7346939,75700
0.16326529,103600
0.081632644,155799
0.0,270100
0.0,141600
1.9591836,74101
0.0,50399
10.285714,75600
0.0,56101
48.489796,50900
0.0,45700
10.285715,50600
0.0,51800
2.7755103,67700
39.183674,56400
71.34694,70700
86.20408,73201
97.95918,106000
100.0,201800
0.0,103800
51.02041,73700
0.0,68700
10.857143,50500
0.0,63500
3.265306,52001
0.0,50599
9.142857,81899
0.0,52100
